order_id,customer_name,email,order_date,product,category,price,quantity,country,sales_channel,payment_type,order_status,discount_applied,customer_age,newsletter_signup
5017,Sofia Keller,sofia.keller60@gmail.com,13/02/2024,Denim Jacket,Clothing,29.99,0,UK,email,Google Pay,Refunded,No,18,FALSE
5018,Nina Silva ,nina.silva94@@gmail.com,12/03/2024,Denim Jacket,Footwear,N/A,3,U.K.,Instagram,Card,Refunded,No,22,yes
5019,Oliver Thompson  ,oliver.thompson92@,2024.01.22,Cap,Footwear,Â£60.00,-1,U.K.,instagram,Apple Pay,Completed,TRUE,unknown,no
5020,Callum Khan ,callum.khan32@gmal.com,19-Jan-24,Cap,Accessories,N/A,1,United Kingdom,Facebook,Card,Refunded,Y,34,no
5021,Khalid Schmidt,khalidschmidt@outlook.com,09-Apr-24,Hoodie,Clothing,Â£45,-1,UK,Email,Google Pay,Completed,TRUE,22,FALSE
5022,Amelia Hernandez  ,amelia.hernandez47@@gmail.com,04-Mar-24,Trainers,Footwear,Â£45,2,U.K.,email,Apple Pay,Pending,N,27,TRUE
5023,Aisha Silva  ,aisha.silva39 @outlook.com,29/03/2024,Hoodie,Accessories,55,0,U.K.,email,PayPal,Refunded,Y,34,TRUE
5024,Ben Rossi  ,ben.rossi43hotmail.com,13-Jan-24,Trainers,Accessories,Â£29.99,2,United Kingdom,instagram,Apple Pay,Completed,TRUE,22,yes
5025,Emre Kim,emre.kim10@gmal.com,05-Mar-24,Graphic Tee,Footwear,29.99,-1,United Kingdom,TikTok,Google Pay,Refunded,FALSE,41,TRUE
5026,Yusuf Moretti,yusuf.moretti39@outlok.com,03/03/2024,Cap,Footwear,55,-1,United Kingdom,instagram,PayPal,Cancelled,N,22,FALSE
5027,Sebastian Novak,sebastian.novak93 @hotmail.com,27/04/2024,Running Shoes,Footwear,Â£60.00,2,GB,Facebook,Card,Refunded,TRUE,27,yes
5028,Jakub Ivanov,jakubivanov@gmail.com,30/04/2024,Graphic Tee,Footwear,Â£45,2,UK,email,Apple Pay,Refunded,TRUE,,TRUE
5029,Amelia Esposito  ,amelia.esposito47company.co,15/01/2024,Hoodie,Clothing,29.99,3,U.K.,TikTok,PayPal,Cancelled,Yes,18,TRUE
5030,Chloe Dubois  ,chloedubois@mail.com,2024.01.03,Hoodie,Clothing,29.99,-1,United Kingdom,Instagram,Card,Completed,No,22,FALSE
5031,Jakub Weber ,jakub.weber19@gmal.com,25/02/2024,Cap,Clothing,Â£29.99,3,GB,Facebook,Google Pay,Pending,TRUE,,TRUE
5032,Ethan Silva  ,ethan.silva41@gmail.com,2024.01.29,Hoodie,Accessories,Â£29.99,3,uk,Email,PayPal,Refunded,FALSE,,FALSE
5033,Leila Patel  ,leila.patel43@mail.com,16/01/2024,Hoodie,Clothing,N/A,0,GB,TikTok,PayPal,Completed,TRUE,34,FALSE
5034,Maya Keller ,maya.keller68@hotnail.com,13/02/2024,Cap,Footwear,Â£29.99,-1,UK,email,PayPal,Cancelled,No,34,no
5035,Layla Keller  ,layla.keller12@gmail.com,2024.04.12,Running Shoes,Footwear,N/A,1,UK,Facebook,Apple Pay,Refunded,No,unknown,no
5036,Priya Muller  ,priya.muller63@company.co,17/04/2024,Graphic Tee,Clothing,N/A,1,UK,TikTok,Apple Pay,Pending,N,22,TRUE
5037,Jonas Brown,jonasbrown@gmail.com,02-Feb-24,Graphic Tee,Footwear,Â£45,-1,GB,instagram,Apple Pay,Cancelled,TRUE,41,TRUE
5038,Harper Muller ,harper.muller46outlook.com,12/02/2024,Denim Jacket,Footwear,Â£60.00,3,U.K.,Email,Card,Refunded,Y,34,FALSE
5039,Theo Wright ,theo.wright61 @gmail.com,02-Jan-24,Trainers,Clothing,55,1,UK,Instagram,PayPal,Completed,No,27,FALSE
5040,Ethan Dubois  ,ethan.dubois43@hotnail.com,23/01/2024,Trainers,Accessories,Â£29.99,3,UK,instagram,Apple Pay,Cancelled,TRUE,41,TRUE
5041,Freya Novak ,freya.novak79 @company.co,2024.01.28,Running Shoes,Footwear,N/A,3,U.K.,email,PayPal,Refunded,N,41,yes
5042,Callum Petrov,callum.petrov87@@hotmail.com,2024.01.23,Trainers,Footwear,Â£60.00,-1,uk,instagram,PayPal,Cancelled,Yes,18,yes
5043,Elena Romano ,elena.romano56hotmail.com,12/02/2024,Cap,Accessories,Â£45,1,uk,Facebook,PayPal,Refunded,Yes,22,no
5044,Oliver Petrov ,oliverpetrov@hotmail.com,10-Mar-24,Hoodie,Accessories,N/A,0,uk,Instagram,PayPal,Pending,No,18,TRUE
5045,Sebastian Johnson,sebastian.johnson57@,10/02/2024,Denim Jacket,Footwear,Â£60.00,3,uk,Facebook,PayPal,Refunded,N,unknown,FALSE
5046,Priya Patel  ,priya.patel75 @company.co,19/01/2024,Graphic Tee,Accessories,Â£60.00,2,uk,TikTok,Google Pay,Cancelled,Yes,unknown,TRUE
5047,Noah Ivanov,noah.ivanov71@gmal.com,2024.03.04,Running Shoes,Accessories,Â£29.99,2,GB,Instagram,Apple Pay,Refunded,N,27,no
5048,Oscar Thompson,oscarthompson@outlook.com,02/04/2024,Graphic Tee,Footwear,N/A,-1,GB,Facebook,Card,Refunded,N,18,yes
5049,Callum Muller,callum.muller80@,06/02/2024,Cap,Footwear,Â£45,1,UK,email,PayPal,Cancelled,TRUE,unknown,FALSE
5050,Emre Martinez ,emre.martinez83@@outlook.com,29/03/2024,Hoodie,Accessories,Â£45,-1,United Kingdom,email,Google Pay,Pending,No,41,TRUE
5051,Anika Smith ,anika.smith62@hotnail.com,2024.03.18,Graphic Tee,Footwear,Â£60.00,2,UK,email,Apple Pay,Refunded,No,,no
5052,Noah Kovacs  ,noah.kovacs38@@company.co,11-Feb-24,Hoodie,Clothing,29.99,3,uk,instagram,Card,Refunded,Y,34,FALSE
5053,Lucas Petrov  ,lucas.petrov50@outlok.com,2024.01.23,Denim Jacket,Footwear,N/A,-1,UK,Email,Google Pay,Refunded,FALSE,22,yes
5054,Ethan Ali ,ethan.ali64 @company.co,12/02/2024,Cap,Footwear,Â£29.99,2,United Kingdom,Facebook,PayPal,Refunded,N,34,FALSE
5055,Jakub Smith,jakub.smith17@gmal.com,12-Jan-24,Graphic Tee,Footwear,N/A,3,GB,TikTok,Card,Refunded,N,41,no
5056,Callum Schmidt  ,callum.schmidt65@@company.co,04/04/2024,Denim Jacket,Footwear,55,-1,uk,email,PayPal,Cancelled,FALSE,34,FALSE
5057,Sara Popescu  ,sara.popescu67 @mail.com,09/04/2024,Graphic Tee,Footwear,N/A,0,United Kingdom,Instagram,Apple Pay,Cancelled,Yes,34,FALSE
5058,Elena OConnor  ,elena.oconnor35gmail.com,29-Apr-24,Denim Jacket,Footwear,Â£29.99,2,U.K.,email,PayPal,Refunded,No,unknown,TRUE
5059,Noah Nielsen  ,noah.nielsen17@outlook.com,05/01/2024,Running Shoes,Accessories,29.99,2,U.K.,Instagram,PayPal,Cancelled,TRUE,34,TRUE
5060,Yusuf Nielsen ,yusuf.nielsen41@@gmail.com,23-Mar-24,Trainers,Footwear,Â£60.00,1,United Kingdom,Facebook,Apple Pay,Pending,TRUE,22,no
5061,Sebastian Petrov ,sebastian.petrov93@@mail.com,23-Mar-24,Trainers,Clothing,Â£29.99,3,U.K.,Email,Card,Pending,Yes,18,FALSE
5062,Nadia Berg  ,nadia.berg10company.co,2024.02.15,Denim Jacket,Clothing,N/A,3,uk,email,Apple Pay,Cancelled,No,41,FALSE
5063,Layla Popescu  ,layla.popescu20@mail.com,10/01/2024,Cap,Footwear,Â£29.99,3,GB,TikTok,PayPal,Refunded,Yes,unknown,FALSE
5064,Mila Novak  ,mila.novak60gmail.com,2024.04.21,Hoodie,Footwear,55,3,GB,email,PayPal,Refunded,N,41,no
5065,Noah OConnor,noah.oconnor14@@company.co,01/03/2024,Trainers,Footwear,Â£45,3,U.K.,TikTok,PayPal,Pending,No,18,FALSE
5066,Sara Smith  ,sara.smith32@hotmail.com,28/03/2024,Hoodie,Clothing,55,3,United Kingdom,Email,PayPal,Refunded,FALSE,unknown,yes
5067,Jonah Silva ,jonah.silva35@,30/04/2024,Hoodie,Accessories,Â£29.99,2,uk,Facebook,PayPal,Completed,Y,,no
5068,Isla Muller,isla.muller35@@mail.com,02/01/2024,Trainers,Footwear,Â£29.99,2,UK,Instagram,Card,Completed,Yes,18,no
5069,Lucas Berg ,lucas.berg32@,19/02/2024,Graphic Tee,Footwear,55,2,U.K.,Facebook,Apple Pay,Completed,TRUE,22,no
5070,Mateo Popescu  ,mateo.popescu15@gmal.com,26/03/2024,Trainers,Accessories,Â£60.00,3,United Kingdom,Email,Google Pay,Completed,TRUE,unknown,yes
5071,Ines ONeil,ines.oneil14mail.com,12/04/2024,Running Shoes,Footwear,29.99,2,GB,Instagram,Apple Pay,Completed,No,22,yes
5072,Alina Ricci,alina.ricci96 @mail.com,27-Mar-24,Denim Jacket,Clothing,N/A,-1,uk,Email,Google Pay,Refunded,Y,unknown,no
5073,Jonah Ricci ,jonahricci@outlook.com,11/04/2024,Running Shoes,Footwear,N/A,1,United Kingdom,Email,PayPal,Refunded,Y,41,FALSE
5074,Emre Hernandez,emre.hernandez46@,2024.01.24,Denim Jacket,Footwear,Â£29.99,-1,United Kingdom,Email,Apple Pay,Pending,No,22,no
5075,Alina Petrov ,alinapetrov@mail.com,2024.01.22,Hoodie,Accessories,29.99,2,uk,TikTok,PayPal,Completed,N,unknown,FALSE
5076,Amir Esposito,amir.esposito70@@company.co,28/02/2024,Running Shoes,Accessories,Â£45,1,U.K.,Facebook,Apple Pay,Completed,TRUE,18,FALSE
5077,Lucas Romano,lucas.romano27@,07/04/2024,Denim Jacket,Clothing,29.99,2,UK,Email,Card,Cancelled,Yes,41,FALSE
5078,Mateo Moretti ,mateo.moretti84 @mail.com,01/01/2024,Graphic Tee,Accessories,Â£60.00,-1,uk,instagram,Apple Pay,Pending,Yes,,no
5079,Noah Brown,noah.brown41@hotnail.com,24/04/2024,Running Shoes,Accessories,55,1,uk,instagram,Google Pay,Cancelled,TRUE,unknown,no
5080,Liam Muller,liam.muller85@gmail.com,18/02/2024,Denim Jacket,Clothing,N/A,-1,United Kingdom,instagram,Google Pay,Pending,Yes,18,TRUE
5081,Tomas Chen,tomas.chen61hotmail.com,07-Feb-24,Running Shoes,Accessories,N/A,3,U.K.,Facebook,Apple Pay,Refunded,FALSE,22,no
5082,Anika Novak ,anika.novak98@,14/02/2024,Denim Jacket,Accessories,Â£29.99,2,GB,Email,Card,Cancelled,N,34,yes
5083,Liam ONeil,liam.oneil66 @mail.com,02/03/2024,Running Shoes,Footwear,Â£29.99,2,U.K.,email,Google Pay,Refunded,No,,FALSE
5084,Elena Hassan  ,elena.hassan94@@gmail.com,15-Mar-24,Trainers,Footwear,55,-1,GB,email,PayPal,Completed,TRUE,41,TRUE
5085,Zara Silva ,zara.silva25mail.com,07-Feb-24,Hoodie,Accessories,55,2,UK,Instagram,Card,Pending,Y,unknown,TRUE
5086,Jonah Thompson  ,jonah.thompson15@,24/01/2024,Hoodie,Accessories,55,3,UK,instagram,Apple Pay,Cancelled,Y,41,yes
5087,Jonas Ali,jonas.ali35 @gmail.com,04/03/2024,Running Shoes,Footwear,N/A,0,uk,Instagram,Google Pay,Completed,FALSE,,yes
5088,Clara Weber,claraweber@hotmail.com,20-Jan-24,Running Shoes,Footwear,Â£45,2,United Kingdom,Instagram,Apple Pay,Pending,TRUE,34,FALSE
5089,Aisha Nguyen  ,aisha.nguyen49@hotmail.com,04/03/2024,Cap,Clothing,29.99,2,uk,Instagram,Card,Refunded,FALSE,41,TRUE
5090,Jakub Conti ,jakub.conti58@hotnail.com,21/04/2024,Cap,Footwear,Â£45,-1,United Kingdom,Email,PayPal,Completed,Yes,41,TRUE
5091,Marco Thompson ,marco.thompson98@@company.co,19/01/2024,Running Shoes,Accessories,Â£29.99,3,UK,Email,Card,Cancelled,Y,18,TRUE
5092,Tomas Johnson ,tomas.johnson38outlook.com,2024.04.14,Cap,Footwear,Â£45,-1,uk,Facebook,Card,Refunded,Y,unknown,FALSE
5093,Amir Muller ,amir.muller92@outlok.com,2024.03.15,Graphic Tee,Accessories,Â£29.99,-1,UK,instagram,Card,Completed,No,27,yes
5094,Freya Conti,freya.conti85@outlok.com,15-Apr-24,Cap,Clothing,29.99,2,GB,Email,Apple Pay,Pending,FALSE,unknown,TRUE
5095,Amelia Keller,amelia.keller53@,02/02/2024,Hoodie,Clothing,N/A,1,United Kingdom,Email,Card,Completed,TRUE,unknown,yes
5096,Jakub Esposito,jakub.esposito33mail.com,23/01/2024,Trainers,Accessories,Â£29.99,1,uk,Instagram,Google Pay,Cancelled,TRUE,,TRUE
5097,Zara Ricci,zara.ricci63hotmail.com,05/02/2024,Trainers,Clothing,Â£29.99,1,UK,Instagram,Card,Cancelled,No,22,yes
5098,Theo Smith  ,theo.smith41@@mail.com,23-Apr-24,Running Shoes,Clothing,55,2,GB,TikTok,Google Pay,Cancelled,TRUE,27,FALSE
5099,Chloe Ivanov  ,chloe.ivanov91 @outlook.com,17/02/2024,Denim Jacket,Accessories,Â£60.00,0,uk,Facebook,Apple Pay,Pending,TRUE,27,FALSE
5100,Hannah Muller ,hannah.muller22@@gmail.com,07-Feb-24,Cap,Accessories,29.99,0,UK,Facebook,PayPal,Cancelled,Yes,34,yes
5101,Jonah Fischer,jonah.fischer13 @mail.com,15/03/2024,Trainers,Footwear,Â£29.99,3,GB,Email,PayPal,Pending,No,,TRUE
5102,Amir Nowak  ,amir.nowak60@gmail.com,16-Jan-24,Running Shoes,Footwear,Â£60.00,2,UK,instagram,PayPal,Pending,No,27,FALSE
5103,Emre Patel ,emre.patel53@@gmail.com,09/01/2024,Denim Jacket,Clothing,N/A,3,GB,email,PayPal,Pending,TRUE,34,TRUE
5104,Oscar Smith  ,oscar.smith61@gmal.com,12/02/2024,Graphic Tee,Accessories,Â£29.99,3,United Kingdom,instagram,Google Pay,Cancelled,TRUE,18,FALSE
5105,Tom Petrov ,tom.petrov59@@mail.com,19-Mar-24,Running Shoes,Accessories,55,3,UK,Instagram,PayPal,Cancelled,TRUE,22,FALSE
5106,Oscar Hassan,oscar.hassan11 @company.co,06/01/2024,Trainers,Accessories,Â£29.99,1,GB,Facebook,Apple Pay,Pending,N,34,TRUE
5107,Oscar Dubois ,oscar.dubois25@,27/02/2024,Running Shoes,Accessories,Â£29.99,0,UK,TikTok,Card,Completed,Yes,34,FALSE
5108,Isla Ali  ,isla.ali18@@outlook.com,29/03/2024,Cap,Clothing,N/A,-1,uk,Email,Card,Pending,N,18,TRUE
5109,Jakub Martinez ,jakub.martinez91 @gmail.com,27-Feb-24,Denim Jacket,Accessories,Â£60.00,2,GB,Instagram,Card,Completed,FALSE,27,FALSE
5110,Clara Chen ,clara.chen60company.co,2024.04.18,Trainers,Footwear,Â£45,2,U.K.,email,Google Pay,Completed,Yes,unknown,yes
5111,Mila Brown  ,mila.brown89@@hotmail.com,16/03/2024,Trainers,Footwear,Â£45,3,uk,instagram,Apple Pay,Completed,Yes,22,no
5112,Layla Hassan  ,layla.hassan45hotmail.com,2024.01.26,Graphic Tee,Accessories,N/A,-1,UK,instagram,PayPal,Cancelled,TRUE,,TRUE
5113,Noah Ali  ,noah.ali96hotmail.com,18-Feb-24,Graphic Tee,Footwear,Â£29.99,2,uk,Facebook,Google Pay,Completed,No,27,FALSE
5114,Amelia Johnson ,amelia.johnson39@outlok.com,31-Jan-24,Denim Jacket,Accessories,55,-1,GB,Instagram,Apple Pay,Refunded,N,unknown,TRUE
5115,Ethan Muller,ethan.muller74@@gmail.com,10/02/2024,Hoodie,Clothing,29.99,0,United Kingdom,Instagram,PayPal,Cancelled,Yes,,FALSE
5116,Ravi Nielsen,ravi.nielsen92@,16-Feb-24,Running Shoes,Accessories,29.99,2,UK,email,Apple Pay,Cancelled,N,unknown,no
5117,Hannah Johnson  ,hannah.johnson40@hotnail.com,28/04/2024,Denim Jacket,Accessories,29.99,0,United Kingdom,email,Card,Cancelled,No,41,FALSE
5118,Leo Brown,leobrown@mail.com,30/04/2024,Graphic Tee,Footwear,Â£60.00,3,uk,Facebook,Card,Completed,No,27,TRUE
5119,Noah Nguyen ,noah.nguyen53mail.com,19/04/2024,Graphic Tee,Clothing,55,1,uk,Email,Card,Refunded,Yes,18,no
5120,Layla Schmidt,layla.schmidt51@hotnail.com,2024.03.19,Trainers,Clothing,Â£29.99,2,U.K.,instagram,PayPal,Completed,Yes,27,FALSE
5121,Sara Sato,sara.sato64@hotnail.com,20/04/2024,Hoodie,Accessories,N/A,3,UK,Instagram,Card,Refunded,FALSE,unknown,FALSE
5122,Jonas Esposito  ,jonas.esposito85@hotnail.com,03-Jan-24,Graphic Tee,Footwear,Â£45,3,UK,Facebook,Google Pay,Refunded,TRUE,34,TRUE
5123,Amelia Muller ,amelia.muller57 @mail.com,20/02/2024,Running Shoes,Clothing,N/A,0,UK,TikTok,Google Pay,Cancelled,No,41,TRUE
5124,Yusuf Petrov,yusuf.petrov14gmail.com,2024.04.27,Running Shoes,Clothing,Â£29.99,3,UK,TikTok,Apple Pay,Completed,Yes,unknown,TRUE
5125,Leo Silva  ,leo.silva43@,16-Jan-24,Denim Jacket,Accessories,Â£45,2,GB,Email,Card,Refunded,N,,no
5126,Liam Nielsen ,liam.nielsen30@outlook.com,07-Jan-24,Trainers,Accessories,29.99,-1,uk,email,Card,Completed,Yes,27,TRUE
5127,Mila Kovacs  ,mila.kovacs37@@outlook.com,10/04/2024,Hoodie,Clothing,Â£60.00,1,United Kingdom,Email,Card,Refunded,Yes,27,no
5128,Isla Rossi,isla.rossi63@hotmail.com,2024.01.15,Graphic Tee,Footwear,55,1,uk,Instagram,Card,Cancelled,Yes,unknown,FALSE
5129,Daniel Fischer ,daniel.fischer34hotmail.com,23/04/2024,Hoodie,Accessories,29.99,2,GB,Email,Google Pay,Completed,N,unknown,no
5130,Ethan Esposito ,ethan.esposito81outlook.com,14-Feb-24,Graphic Tee,Accessories,N/A,2,UK,Instagram,Apple Pay,Completed,TRUE,unknown,FALSE
5131,Jonas Conti ,jonas.conti94 @company.co,2024.04.06,Cap,Accessories,Â£60.00,1,United Kingdom,instagram,Card,Refunded,Y,,no
5132,Fatima Rossi  ,fatima.rossi93 @hotmail.com,13/01/2024,Graphic Tee,Clothing,Â£45,-1,uk,TikTok,Google Pay,Pending,FALSE,34,yes
5133,Jakub Novak  ,jakub.novak37company.co,12-Apr-24,Trainers,Clothing,Â£45,0,GB,Instagram,PayPal,Cancelled,No,34,yes
5134,Hannah Berg ,hannah.berg65@@company.co,18/01/2024,Running Shoes,Accessories,55,-1,GB,Email,PayPal,Cancelled,Yes,unknown,FALSE
5135,Mila Nguyen ,mila.nguyen23 @gmail.com,22-Feb-24,Cap,Accessories,Â£60.00,0,U.K.,Email,Google Pay,Completed,Y,22,TRUE
5136,Leo Papadopoulos ,leo.papadopoulos54gmail.com,30/04/2024,Cap,Footwear,55,2,U.K.,TikTok,Apple Pay,Cancelled,Y,41,FALSE
5137,Julien Brown,julienbrown@mail.com,2024.02.10,Running Shoes,Footwear,55,3,United Kingdom,Instagram,Apple Pay,Pending,No,18,TRUE
5138,Tom Conti ,tom.conti85@@outlook.com,25/04/2024,Graphic Tee,Footwear,Â£60.00,2,UK,Facebook,Google Pay,Completed,No,,TRUE
5139,Ravi Chen,ravi.chen69 @company.co,2024.03.08,Cap,Accessories,Â£60.00,-1,GB,Facebook,Apple Pay,Cancelled,No,18,FALSE
5140,Ethan Fischer  ,ethan.fischer87company.co,08-Feb-24,Cap,Accessories,N/A,2,uk,instagram,Google Pay,Cancelled,TRUE,18,TRUE
5141,Daniel Brown ,daniel.brown23@outlok.com,01/04/2024,Graphic Tee,Footwear,29.99,0,GB,email,Apple Pay,Completed,Y,22,FALSE
5142,Oliver Dubois,oliver.dubois24 @hotmail.com,28/01/2024,Hoodie,Accessories,Â£45,-1,uk,Instagram,Google Pay,Pending,TRUE,34,FALSE
5143,Arjun Ivanov  ,arjun.ivanov29 @outlook.com,2024.04.20,Denim Jacket,Clothing,Â£29.99,0,U.K.,Instagram,PayPal,Refunded,FALSE,27,no
5144,Leila Ricci ,leila.ricci80hotmail.com,30-Apr-24,Trainers,Clothing,N/A,2,UK,Email,PayPal,Completed,Yes,unknown,TRUE
5145,Ava Nguyen,avanguyen@hotmail.com,27/02/2024,Trainers,Footwear,Â£29.99,1,GB,Email,Apple Pay,Pending,FALSE,unknown,TRUE
5146,Jakub Hassan  ,jakub.hassan42@outlok.com,23-Feb-24,Hoodie,Footwear,Â£29.99,1,U.K.,TikTok,Google Pay,Completed,N,34,no
5147,Ibrahim Ricci  ,ibrahim.ricci27gmail.com,10/03/2024,Running Shoes,Accessories,55,-1,UK,Email,Apple Pay,Pending,TRUE,34,TRUE
5148,Leo Smith ,leosmith@hotmail.com,15-Mar-24,Cap,Clothing,N/A,-1,uk,TikTok,PayPal,Cancelled,N,unknown,TRUE
5149,Marco Popescu,marco.popescu19@outlok.com,19/01/2024,Trainers,Clothing,Â£29.99,-1,UK,TikTok,Google Pay,Cancelled,N,unknown,TRUE
5150,Layla Fischer  ,layla.fischer22@gmal.com,30-Mar-24,Denim Jacket,Clothing,29.99,3,United Kingdom,Instagram,Apple Pay,Pending,N,unknown,TRUE
5151,Nadia Muller ,nadia.muller30 @hotmail.com,06/04/2024,Cap,Clothing,Â£60.00,1,United Kingdom,Facebook,Card,Completed,TRUE,27,FALSE
5152,Hannah OConnor,hannah.oconnor24@hotnail.com,05/02/2024,Graphic Tee,Footwear,Â£29.99,1,United Kingdom,Email,Card,Cancelled,Yes,18,TRUE
5153,Yusuf Esposito,yusuf.esposito61@gmal.com,19-Mar-24,Running Shoes,Clothing,29.99,1,UK,Instagram,Apple Pay,Refunded,Yes,34,FALSE
5154,Ines Rossi ,inesrossi@outlook.com,26-Apr-24,Running Shoes,Footwear,55,1,UK,TikTok,PayPal,Pending,Y,22,TRUE
5155,Hannah Conti ,hannahconti@outlook.com,2024.03.22,Denim Jacket,Footwear,Â£45,1,UK,instagram,Google Pay,Cancelled,N,18,TRUE
5156,Maya Schmidt,maya.schmidt45@hotnail.com,11/04/2024,Hoodie,Accessories,Â£45,2,UK,instagram,Google Pay,Refunded,FALSE,22,FALSE
5157,Daniel Popescu,daniel.popescu84@@outlook.com,14/04/2024,Hoodie,Accessories,N/A,0,U.K.,TikTok,PayPal,Cancelled,Yes,34,FALSE
5158,Ravi Esposito,raviesposito@company.co,26-Feb-24,Graphic Tee,Footwear,Â£29.99,0,United Kingdom,instagram,PayPal,Pending,Y,41,FALSE
5159,Daniel Kim ,daniel.kim78gmail.com,08/01/2024,Hoodie,Accessories,Â£29.99,1,United Kingdom,email,Google Pay,Cancelled,Yes,,yes
5160,Ava Moretti  ,ava.moretti52@hotmail.com,2024.01.11,Graphic Tee,Footwear,Â£60.00,3,U.K.,email,Card,Pending,N,unknown,yes
5161,Arjun Nguyen ,arjun.nguyen47@@gmail.com,18-Apr-24,Trainers,Accessories,Â£60.00,2,United Kingdom,email,Apple Pay,Completed,Yes,18,yes
5162,Jonas Hassan,jonas.hassan17 @hotmail.com,25/02/2024,Trainers,Accessories,Â£45,3,GB,Facebook,Card,Completed,FALSE,27,no
5163,Elena Papadopoulos,elena.papadopoulos25@hotmail.com,2024.04.01,Running Shoes,Footwear,Â£45,-1,GB,instagram,Google Pay,Refunded,No,,yes
5164,Tomas Weber ,tomas.weber82 @mail.com,2024.03.02,Denim Jacket,Footwear,N/A,0,United Kingdom,Facebook,Google Pay,Completed,Yes,,yes
5165,Liam Thompson  ,liam.thompson73@outlok.com,30-Jan-24,Hoodie,Footwear,Â£60.00,-1,UK,TikTok,PayPal,Refunded,No,27,FALSE
5166,Priya Popescu ,priya.popescu41@,2024.04.12,Hoodie,Footwear,55,0,GB,Facebook,Apple Pay,Refunded,Yes,unknown,no
5167,Isla Hassan  ,isla.hassan62@@company.co,2024.02.25,Cap,Clothing,Â£60.00,0,uk,instagram,Apple Pay,Completed,Yes,18,FALSE
5168,Chloe OConnor  ,chloe.oconnor60@,26-Apr-24,Graphic Tee,Clothing,55,3,uk,instagram,Google Pay,Cancelled,No,22,no
5169,Amelia Weber ,amelia.weber26hotmail.com,06/03/2024,Denim Jacket,Footwear,N/A,-1,U.K.,Email,Apple Pay,Pending,FALSE,41,TRUE
5170,Amelia Wright  ,amelia.wright50 @hotmail.com,26-Jan-24,Graphic Tee,Footwear,Â£60.00,2,uk,Facebook,Apple Pay,Completed,Y,18,no
5171,Ethan Kim,ethankim@mail.com,2024.04.02,Hoodie,Footwear,N/A,1,uk,email,Card,Refunded,N,27,FALSE
5172,Khalid Sato  ,khalid.sato61 @mail.com,13/03/2024,Denim Jacket,Clothing,Â£60.00,1,United Kingdom,Email,Google Pay,Refunded,TRUE,41,no
5173,Khalid Patel ,khalidpatel@mail.com,07/01/2024,Hoodie,Accessories,Â£29.99,0,U.K.,instagram,Google Pay,Refunded,Y,27,no
